		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 292.953125	M = 150000	N = 8	m = 9	n = 1200000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110011010  296  282  282  318  310  324  317  298  9.655368 0.290052 SUCCESS 105
110100000  281  291  304  305  307  300  320  293  4.915814 0.766535 SUCCESS 106
110100010  295  276  291  305  307  304  292  297  2.743858 0.949390 SUCCESS 107
110100100  313  289  331  274  284  304  287  296  8.724735 0.366046 SUCCESS 108
110101000  309  278  272  277  288  295  289  296  4.336471 0.825562 SUCCESS 109
110101010  288  276  272  331  305  323  298  306 12.152798 0.144516 SUCCESS 110
110101100   63   89   70   66   67   71   62   55 1433.301620 0.000000 FAILURE 111
110110000  216  231  234  229  215  217  242  211 135.868437 0.000000 FAILURE 112
110110010  239  219  217  199  227  235  216  223 146.517044 0.000000 FAILURE 113
110110100    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 114
110111000  248  247  222  223  208  214  223  221 132.683983 0.000000 FAILURE 115
110111010  211  242  199  225  210  210  231  244 150.946902 0.000000 FAILURE 116
110111100    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 117
111000000  283  285  280  268  244  261  255  242 29.680809 0.000241 FAILURE 118
111000010  280  245  263  246  272  241  257  254 40.662171 0.000002 FAILURE 119
111000100  246  262  275  254  262  248  258  276 33.506280 0.000050 FAILURE 120
111000110   79   59   82   97   86   72   61   71 1334.989676 0.000000 FAILURE 121
111001000  261  254  255  264  283  256  278  263 26.134804 0.000996 FAILURE 122
111001010   79   89   65   70   74   77   76   62 1355.832661 0.000000 FAILURE 123
111001100  262  278  266  270  256  268  275  266 19.319170 0.013243 SUCCESS 124
111010000  166  199  187  200  183  198  208  196 291.388895 0.000000 FAILURE 125
111010010  208  171  184  187  190  183  204  180 312.618808 0.000000 FAILURE 126
111010100  175  183  186  175  209  197  199  183 312.548197 0.000000 FAILURE 127
111010110    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 128
111011000  166  202  218  187  180  182  186  206 301.165234 0.000000 FAILURE 129
111011010    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 130
111011100  202  196  183  195  180  198  187  188 294.351917 0.000000 FAILURE 131
111100000   69   83   73   71   66   67   80   83 1355.274833 0.000000 FAILURE 132
111100010   92   74   82   78   75   71   64   87 1308.536963 0.000000 FAILURE 133
111100100   87   69   59   83   66   61   82   88 1352.920943 0.000000 FAILURE 134
111100110   62   87   70   55   68   84   82   71 1377.325932 0.000000 FAILURE 135
111101000   58   79   86   74   88   82   71   65 1339.782851 0.000000 FAILURE 136
111101010   71   80   67   79   85   79   75   80 1318.014197 0.000000 FAILURE 137
111101100   74   83   81   76   77   76   69   97 1293.139975 0.000000 FAILURE 138
111101110   79   74   67   64   78   81   77   79 1344.194725 0.000000 FAILURE 139
111110000    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 140
111110010    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 141
111110100    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 142
111110110    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 143
111111000    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 144
111111010    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 145
111111100    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 146
111111110    0    0    0    0    0    0    0    0 2423.983845 0.000000 FAILURE 147

